"QP1" "QP2" "QP3" "QP4" "QU1" "QU2" "QU3" "QU4"
"di" 4.20546244568591 4.09916064805778 4.3273937732524 3.66617538688283 4.47713463383435 3.90185036202735 4.69402447804176 4.41666666666667
"e" 2.40533829919305 2.57661526449346 3.09379283336597 2.81871775976419 2.95810681164055 3.66049879324216 3.585313174946 3.15
"che" 2.34326505276226 2.61565488971306 1.80144899158018 2.67133382461312 2.52638311480652 2.25261464199517 2.11663066954644 1.9
"la" 2.73122284295469 2.08861994924849 2.38887801057372 2.48710390567428 2.12663895107131 1.87047465808528 1.28149748020158 1.91666666666667
"il" 1.78460583488516 2.01054069880929 1.95809672997846 1.89756816507001 1.5350175887432 1.87047465808528 1.49748020158387 1.7
"non" 1.53631284916201 1.63966425922311 1.62522028588212 2.04495210022108 1.98273105212664 1.56878519710378 0.950323974082073 1.3
"è" 1.22594661700807 1.05406988092914 1.89935382807911 1.86072218128224 2.15861848417013 1.38777152051488 0.979121670266379 1.56666666666667
"un" 1.24146492861577 1.48350575834472 1.42941061288428 1.19749447310243 1.43907898944675 1.26709573612228 1.6702663786897 1.66666666666667
"a" 1.30353817504655 1.24926800702713 1.21401997258665 0.921149594694178 0.831467860569236 1.10619469026549 1.69906407487401 1.68333333333333
"in" 1.38112973308504 1.24926800702713 1.07695320148815 0.810611643330877 1.40709945634794 1.08608205953339 1.38228941684665 1.21666666666667
"per" 1.02420856610801 1.34686707007613 1.19443900528686 1.0132645541636 1.08730412535977 0.643604183427192 0.849532037437005 1.11666666666667
"l" 0.837988826815642 0.995510443099746 1.15527707068729 0.736919675755343 1.3271506236009 0.905068382944489 0.907127429805616 1.28333333333333
"si" 1.10180012414649 0.839351942221355 0.841981593890738 1.10537951363301 1.19923249120563 1.16653258246179 0.950323974082073 0.816666666666667
"della" 0.791433891992551 1.11262931875854 0.920305463089877 0.681650700073692 1.21522225775504 0.84473049074819 0.993520518358531 1.03333333333333
"una" 0.85350713842334 0.858871754831154 0.783238691991384 0.957995578481945 0.99136552606332 0.643604183427192 1.19510439164867 1.06666666666667
"del" 1.11731843575419 0.800312317001757 0.939886430389661 0.792188651436993 1.03933482571154 0.744167337087691 0.863930885529158 0.85
"i" 1.0552451893234 1.09310950614874 0.607009986293323 1.08695652173913 0.479692996482251 0.84473049074819 0.475161987041037 0.866666666666667
"le" 0.63625077591558 0.878391567440953 0.469943215194831 0.589535740604274 0.911416693316278 0.905068382944489 0.691144708423326 0.666666666666667
"ma" 0.465549348230912 0.527034940464572 0.841981593890738 0.921149594694178 0.623600895426927 0.724054706355591 0.662347012239021 0.416666666666667
